"townid","town","county","x","full_address","full_address_Ire","lon","lat"
2534,"Abbey","Galway","","Abbey,Galway","Abbey,Galway,Ireland",-8.3901259,53.103368
1476,"Abbeydorney","Kerry","","Abbeydorney,Kerry","Abbeydorney,Kerry,Ireland",-9.6879095,52.346618
501,"Abbeyfeale","Kerry","","Abbeyfeale,Kerry","Abbeyfeale,Kerry,Ireland",-9.2970823,52.3861811
623,"Abbeyfeale","Limerick","","Abbeyfeale,Limerick","Abbeyfeale,Limerick,Ireland",-9.2970823,52.3861811
1398,"Abbeyfeale PO","Kerry","","Abbeyfeale PO,Kerry","Abbeyfeale PO,Kerry,Ireland",-9.2970823,52.3861811
2187,"Abbeyknockmoy","Galway","","Abbeyknockmoy,Galway","Abbeyknockmoy,Galway,Ireland",-8.74804,53.43649
667,"Abbeylara","Longford","","Abbeylara,Longford","Abbeylara,Longford,Ireland",-7.4488661,53.7652808
588,"Abbeyleix","Laois","","Abbeyleix,Laois","Abbeyleix,Laois,Ireland",-7.3478923,52.9152801
1159,"Abbeyshrule","Longford","","Abbeyshrule,Longford","Abbeyshrule,Longford,Ireland",-7.6575535,53.5825139
2655,"Abbeyside","","","Abbeyside,","Abbeyside,,Ireland",-7.6168652,52.0931797
326,"Abbotstown","Dublin","","Abbotstown,Dublin","Abbotstown,Dublin,Ireland",-6.3666919,53.3883497
698,"Achill","Mayo","","Achill,Mayo","Achill,Mayo,Ireland",-10.015335,53.9619505
699,"Achill Island","Mayo","","Achill Island,Mayo","Achill Island,Mayo,Ireland",-10.015335,53.9619505
700,"Achill Sound","Mayo","","Achill Sound,Mayo","Achill Sound,Mayo,Ireland",-10.015335,53.9619505
2266,"Achonry","Sligo","","Achonry,Sligo","Achonry,Sligo,Ireland",-8.6639096,54.0804305
801,"Aclare","Sligo","","Aclare,Sligo","Aclare,Sligo,Ireland",-8.8966534,54.0364622
1626,"Adamstown","Wexford","","Adamstown,Wexford","Adamstown,Wexford,Ireland",-6.7185567,52.3935687
624,"Adare","Limerick","","Adare,Limerick","Adare,Limerick,Ireland",-8.7925892,52.5636339
1317,"Adare","Limerick","","Adare,Limerick","Adare,Limerick,Ireland",-8.7925892,52.5636339
1128,"Adrigole","Cork","","Adrigole,Cork","Adrigole,Cork,Ireland",-9.7228146,51.694197
2372,"Aghabog","Monaghan","","Aghabog,Monaghan","Aghabog,Monaghan,Ireland",-7.0958937,54.147239
1482,"Aghabullogue","Cork","","Aghabullogue,Cork","Aghabullogue,Cork,Ireland",-8.8078507,51.9443038
1329,"Aghacashel","Leitrim","","Aghacashel,Leitrim","Aghacashel,Leitrim,Ireland",-7.93631,54.0732323
2166,"Aghada","Cork","","Aghada,Cork","Aghada,Cork,Ireland",-8.2089958,51.836983
1322,"Aghadegnan","","","Aghadegnan,","Aghadegnan,,Ireland",-7.806645,53.7419283
216,"Aghadowey","","","Aghadowey,","Aghadowey,,Ireland",-6.65189,55.02961
2245,"Aghadrumsee","Fermanagh","","Aghadrumsee,Fermanagh","Aghadrumsee,Fermanagh,Ireland",-7.2770833,54.2292749
2529,"Aghalee","Antrim","","Aghalee,Antrim","Aghalee,Antrim,Ireland",-6.2659683,54.5224256
2423,"Aghamore","Mayo","","Aghamore,Mayo","Aghamore,Mayo,Ireland",-8.8244725,53.8276872
1195,"Aghinagh","Cork","","Aghinagh,Cork","Aghinagh,Cork,Ireland",-8.89434,51.89425
2209,"Aghyaran","Tyrone","","Aghyaran,Tyrone","Aghyaran,Tyrone,Ireland",-7.7236784,54.6668294
1463,"Aglish","Waterford","","Aglish,Waterford","Aglish,Waterford,Ireland",-7.8222696,52.0715072
1538,"Ahakista","Cork","","Ahakista,Cork","Ahakista,Cork,Ireland",-9.6321826,51.5999082
1641,"Ahascragh","Galway","","Ahascragh,Galway","Ahascragh,Galway,Ireland",-8.3346318,53.3976127
1162,"Aherla","Cork","","Aherla,Cork","Aherla,Cork,Ireland",-8.7326019,51.8536728
826,"Aherlow","Tipperary","","Aherlow,Tipperary","Aherlow,Tipperary,Ireland",-8.19226,52.4198
1340,"Alacken","Cavan","","Alacken,Cavan","Alacken,Cavan,Ireland",-7.2987167,53.9723816
1,"Aldergrove","","","Aldergrove,","Aldergrove,,Ireland",-6.2431244,54.6446916
1840,"Allenwood","Kildare","","Allenwood,Kildare","Allenwood,Kildare,Ireland",-6.8618406,53.2839545
1507,"Allihies","Cork","","Allihies,Cork","Allihies,Cork,Ireland",-10.0441558,51.6412598
2044,"Altnagelvin","Derry","","Altnagelvin,Derry","Altnagelvin,Derry,Ireland",-7.2873335,54.9799363
2023,"Anglesboro","Limerick","","Anglesboro,Limerick","Anglesboro,Limerick,Ireland",-8.2895418,52.3403057
1526,"Anglesborough","Limerick","","Anglesborough,Limerick","Anglesborough,Limerick,Ireland",-8.2895418,52.3403057
1633,"Annacarty","Tipperary","","Annacarty,Tipperary","Annacarty,Tipperary,Ireland",-8.1103849,52.5644224
625,"Annacotty","Limerick","","Annacotty,Limerick","Annacotty,Limerick,Ireland",-8.5376764,52.6680427
2334,"Annacurra","Wicklow","","Annacurra,Wicklow","Annacurra,Wicklow,Ireland",-6.35305,52.83987
1047,"Annaduff","Leitrim","","Annaduff,Leitrim","Annaduff,Leitrim,Ireland",-7.9894635,53.922596
228,"Annagary","Donegal","","Annagary,Donegal","Annagary,Donegal,Ireland",-8.3136601,55.02044
1944,"Annagassan","Louth","","Annagassan,Louth","Annagassan,Louth,Ireland",-6.3434942,53.882628
1327,"Annaghdown","Galway","","Annaghdown,Galway","Annaghdown,Galway,Ireland",-9.0710338,53.3881317
2175,"Annaglough","Cavan","","Annaglough,Cavan","Annaglough,Cavan,Ireland",-6.95335,53.93861
1768,"Annagry","Donegal","","Annagry,Donegal","Annagry,Donegal,Ireland",-8.3136601,55.02044
294,"Annalong","Down","","Annalong,Down","Annalong,Down,Ireland",-5.90109,54.10771
1261,"Annamoe","Wicklow","","Annamoe,Wicklow","Annamoe,Wicklow,Ireland",-6.2542182,53.0315169
502,"Annascaul","Kerry","","Annascaul,Kerry","Annascaul,Kerry,Ireland",-10.0567611,52.1510786
2325,"Annestown","Waterford","","Annestown,Waterford","Annestown,Waterford,Ireland",-7.2719426,52.1405863
2073,"Annyalla","Monaghan","","Annyalla,Monaghan","Annyalla,Monaghan,Ireland",-6.78888,54.16064
2,"Antrim Town","Antrim","","Antrim Town,Antrim","Antrim Town,Antrim,Ireland",-6.2072498,54.7195338
2265,"Araglen","Cork","","Araglen,Cork","Araglen,Cork,Ireland",-8.1066188,52.2071513
2322,"Araglen","Waterford","","Araglen,Waterford","Araglen,Waterford,Ireland",-8.1066188,52.2071513
1430,"Araglin","Cork","","Araglin,Cork","Araglin,Cork,Ireland",-8.1066188,52.2071513
1539,"Aran","","","Aran,","Aran,,Ireland",-9.656332,53.0971747
440,"Aran Islands","Galway","","Aran Islands,Galway","Aran Islands,Galway,Ireland",-9.656332,53.0971747
1439,"Arbour Hill","Dublin","","Arbour Hill,Dublin","Arbour Hill,Dublin,Ireland",-6.2888873,53.3516251
2513,"Ard Na Gréine","Dublin","","Ard Na Gréine,Dublin","Ard Na Gréine,Dublin,Ireland",-6.2603097,53.3498053
626,"Ardagh","Limerick","","Ardagh,Limerick","Ardagh,Limerick,Ireland",-9.0637201,52.4941233
1283,"Ardagh","Limerick","","Ardagh,Limerick","Ardagh,Limerick,Ireland",-9.0637201,52.4941233
1284,"Ardagh","Longford","","Ardagh,Longford","Ardagh,Longford,Ireland",-7.69409,53.66715
2512,"Ardagh","","","Ardagh,","Ardagh,,Ireland",-7.69409,53.66715
1655,"Ardaghowen","","","Ardaghowen,","Ardaghowen,,Ireland",-8.460293,54.2727674
229,"Ardara","Donegal","","Ardara,Donegal","Ardara,Donegal,Ireland",-8.4092864,54.7671456
1008,"Ardattin","Carlow","","Ardattin,Carlow","Ardattin,Carlow,Ireland",-6.706149,52.7550249
2043,"Ardcath","Meath","","Ardcath,Meath","Ardcath,Meath,Ireland",-6.3916485,53.6091281
1462,"Ardcavan","Wexford","","Ardcavan,Wexford","Ardcavan,Wexford,Ireland",-6.4451472,52.3577533
1184,"Ardclough","Kildare","","Ardclough,Kildare","Ardclough,Kildare,Ireland",-6.5764394,53.290449
2454,"Ardcroney","Tipperary","","Ardcroney,Tipperary","Ardcroney,Tipperary,Ireland",-8.1561036,52.935516
681,"Ardee","Louth","","Ardee,Louth","Ardee,Louth,Ireland",-6.5400009,53.8576227
1914,"Ardee","","","Ardee,","Ardee,,Ireland",-6.5400009,53.8576227
503,"Ardfert","Kerry","","Ardfert,Kerry","Ardfert,Kerry,Ireland",-9.7693245,52.3273888
1546,"Ardfield","Cork","","Ardfield,Cork","Ardfield,Cork,Ireland",-8.9102498,51.566973
827,"Ardfinnan","Tipperary","","Ardfinnan,Tipperary","Ardfinnan,Tipperary,Ireland",-7.8842292,52.3092483
295,"Ardglass","Down","","Ardglass,Down","Ardglass,Down,Ireland",-5.6108327,54.2633033
1224,"Ardgroom","Cork","","Ardgroom,Cork","Ardgroom,Cork,Ireland",-9.89707,51.73373
2637,"Ardlougher","Cavan","","Ardlougher,Cavan","Ardlougher,Cavan,Ireland",-7.5759622,54.0632742
870,"Ardmore","Waterford","","Ardmore,Waterford","Ardmore,Waterford,Ireland",-7.725329,51.9510741
2601,"Ardmore","Galway","","Ardmore,Galway","Ardmore,Galway,Ireland",-9.7693646,53.3068664
1001,"Ardnacrusha","Clare","","Ardnacrusha,Clare","Ardnacrusha,Clare,Ireland",-8.6139472,52.7090984
2653,"Ardnageehy","Cork","","Ardnageehy,Cork","Ardnageehy,Cork,Ireland",-9.4221501,51.6804435
1262,"Ardpatrick","Limerick","","Ardpatrick,Limerick","Ardpatrick,Limerick,Ireland",-8.5253604,52.3414524
441,"Ardrahan","Galway","","Ardrahan,Galway","Ardrahan,Galway,Ireland",-8.8058651,53.1564343
1860,"Ardsallagh Beg","","","Ardsallagh Beg,","Ardsallagh Beg,,Ireland",-8.1824525,53.622291
1350,"Ardsallagh Woods","","","Ardsallagh Woods,","Ardsallagh Woods,,Ireland",-8.1785997,53.6189356
1680,"Arigna","Roscommon","","Arigna,Roscommon","Arigna,Roscommon,Ireland",-8.1125249,54.0763414
951,"Arklow","","","Arklow,","Arklow,,Ireland",-6.1599293,52.7976935
1039,"Arklow","Wicklow","","Arklow,Wicklow","Arklow,Wicklow,Ireland",-6.1599293,52.7976935
1577,"Armagh City","Armagh","","Armagh City,Armagh","Armagh City,Armagh,Ireland",-6.652792,54.3502798
26,"Armagh Town","Armagh","","Armagh Town,Armagh","Armagh Town,Armagh,Ireland",-6.652792,54.3502798
2618,"Arney","Fermanagh","","Arney,Fermanagh","Arney,Fermanagh,Ireland",-7.67597,54.29115
